decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
97.755442	3.656401	Indonesia	ID	HUMAN_OBSERVATION	2023
97.490262	3.584112	Indonesia	ID	HUMAN_OBSERVATION	2023
98.064466	3.561683	Indonesia	ID	HUMAN_OBSERVATION	2023
97.6014	3.754743	Indonesia	ID	HUMAN_OBSERVATION	2023
98.046577	3.574831	Indonesia	ID	HUMAN_OBSERVATION	2023
98.096038	3.579428	Indonesia	ID	HUMAN_OBSERVATION	2023
98.045228	3.584444	Indonesia	ID	HUMAN_OBSERVATION	2023
97.298081	3.845475	Indonesia	ID	HUMAN_OBSERVATION	2023
98.196476	3.568537	Indonesia	ID	HUMAN_OBSERVATION	2023
97.634847	3.666434	Indonesia	ID	HUMAN_OBSERVATION	2023
98.025	3.50873	Indonesia	ID	HUMAN_OBSERVATION	2023
98.094748	3.468854	Indonesia	ID	HUMAN_OBSERVATION	2023
97.694505	3.733386	Indonesia	ID	HUMAN_OBSERVATION	2023
97.688935	3.688903	Indonesia	ID	HUMAN_OBSERVATION	2023
97.764529	3.718264	Indonesia	ID	HUMAN_OBSERVATION	2023
97.769589	3.677768	Indonesia	ID	HUMAN_OBSERVATION	2023
97.703904	3.75168	Indonesia	ID	HUMAN_OBSERVATION	2023
97.73254	3.613311	Indonesia	ID	HUMAN_OBSERVATION	2023
98.069532	3.427852	Indonesia	ID	HUMAN_OBSERVATION	2023
98.0706	3.490707	Indonesia	ID	HUMAN_OBSERVATION	2023
98.182926	3.599994	Indonesia	ID	HUMAN_OBSERVATION	2023
98.182746	3.461526	Indonesia	ID	HUMAN_OBSERVATION	2023
98.001924	3.573933	Indonesia	ID	HUMAN_OBSERVATION	2023
97.813002	3.962127	Indonesia	ID	HUMAN_OBSERVATION	2023
97.907173	3.647636	Indonesia	ID	HUMAN_OBSERVATION	2023
98.125689	3.79679	Indonesia	ID	HUMAN_OBSERVATION	2023
98.089039	3.690169	Indonesia	ID	HUMAN_OBSERVATION	2023
98.183589	3.595474	Indonesia	ID	HUMAN_OBSERVATION	2023
98.180963	3.459372	Indonesia	ID	HUMAN_OBSERVATION	2023
98.188756	3.414561	Indonesia	ID	HUMAN_OBSERVATION	2023
98.139367	3.52685	Indonesia	ID	HUMAN_OBSERVATION	2023
98.10285	3.470803	Indonesia	ID	HUMAN_OBSERVATION	2023
98.129088	3.871161	Indonesia	ID	HUMAN_OBSERVATION	2023
98.087152	3.466935	Indonesia	ID	HUMAN_OBSERVATION	2023
98.199852	3.437281	Indonesia	ID	HUMAN_OBSERVATION	2023
98.187009	3.402783	Indonesia	ID	HUMAN_OBSERVATION	2023
97.559765	3.474924	Indonesia	ID	HUMAN_OBSERVATION	2023
97.517466	3.572858	Indonesia	ID	HUMAN_OBSERVATION	2023
98.096182	3.406932	Indonesia	ID	HUMAN_OBSERVATION	2023
97.770562	3.762145	Indonesia	ID	HUMAN_OBSERVATION	2023
97.875799	3.623252	Indonesia	ID	HUMAN_OBSERVATION	2023
98.186116	3.532112	Indonesia	ID	HUMAN_OBSERVATION	2023
97.412713	3.522985	Indonesia	ID	HUMAN_OBSERVATION	2022
97.527309	3.501173	Indonesia	ID	HUMAN_OBSERVATION	2022
97.328366	3.727052	Indonesia	ID	HUMAN_OBSERVATION	2022
98.051312	3.474175	Indonesia	ID	HUMAN_OBSERVATION	2022
97.740677	3.781566	Indonesia	ID	HUMAN_OBSERVATION	2022
98.180909	3.420669	Indonesia	ID	HUMAN_OBSERVATION	2022
97.886833	4.263643	Indonesia	ID	HUMAN_OBSERVATION	2022
98.158165	3.50993	Indonesia	ID	HUMAN_OBSERVATION	2022
98.074945	3.499703	Indonesia	ID	HUMAN_OBSERVATION	2022
98.168536	3.508016	Indonesia	ID	HUMAN_OBSERVATION	2022
98.154314	3.507021	Indonesia	ID	HUMAN_OBSERVATION	2022
98.157345	3.580196	Indonesia	ID	HUMAN_OBSERVATION	2022
98.178258	3.412297	Indonesia	ID	HUMAN_OBSERVATION	2022
98.044978	3.49393	Indonesia	ID	HUMAN_OBSERVATION	2021
97.646227	3.617787	Indonesia	ID	HUMAN_OBSERVATION	2020
97.707447	3.646043	Indonesia	ID	HUMAN_OBSERVATION	2019
97.619822	3.722525	Indonesia	ID	HUMAN_OBSERVATION	2019
97.747771	3.692857	Indonesia	ID	HUMAN_OBSERVATION	2019
97.769722	3.708281	Indonesia	ID	HUMAN_OBSERVATION	2019
97.688653	3.779311	Indonesia	ID	HUMAN_OBSERVATION	2019
97.729218	3.658565	Indonesia	ID	HUMAN_OBSERVATION	2019
98.016741	3.42416	Indonesia	ID	HUMAN_OBSERVATION	2019
98.180399	3.541497	Indonesia	ID	HUMAN_OBSERVATION	2019
98.04037	3.523671	Indonesia	ID	HUMAN_OBSERVATION	2019
98.058758	3.742624	Indonesia	ID	HUMAN_OBSERVATION	2019
97.772047	3.644541	Indonesia	ID	HUMAN_OBSERVATION	2019
97.765863	3.610021	Indonesia	ID	HUMAN_OBSERVATION	2019
97.700859	3.759149	Indonesia	ID	HUMAN_OBSERVATION	2019
98.06334	3.596848	Indonesia	ID	HUMAN_OBSERVATION	2019
98.006441	3.517829	Indonesia	ID	HUMAN_OBSERVATION	2019
98.021782	3.489515	Indonesia	ID	HUMAN_OBSERVATION	2018
97.480137	3.090763	Indonesia	ID	HUMAN_OBSERVATION	2018
97.640895	3.169961	Indonesia	ID	HUMAN_OBSERVATION	2018
97.425199	3.115285	Indonesia	ID	HUMAN_OBSERVATION	2018
97.581975	3.185838	Indonesia	ID	HUMAN_OBSERVATION	2018
97.538966	3.148404	Indonesia	ID	HUMAN_OBSERVATION	2018
97.427662	3.016933	Indonesia	ID	HUMAN_OBSERVATION	2018
97.539371	3.046382	Indonesia	ID	HUMAN_OBSERVATION	2018
97.316212	3.612978	Indonesia	ID	HUMAN_OBSERVATION	2018
97.430889	3.099341	Indonesia	ID	HUMAN_OBSERVATION	2018
98.098227	3.571398	Indonesia	ID	HUMAN_OBSERVATION	2018
98.08518	3.433099	Indonesia	ID	HUMAN_OBSERVATION	2018
98.022676	3.452916	Indonesia	ID	HUMAN_OBSERVATION	2018
98.176237	3.555577	Indonesia	ID	HUMAN_OBSERVATION	2018
98.120274	3.586425	Indonesia	ID	HUMAN_OBSERVATION	2018
98.193583	3.517143	Indonesia	ID	HUMAN_OBSERVATION	2018
98.032619	3.423649	Indonesia	ID	HUMAN_OBSERVATION	2018
98.018847	3.544741	Indonesia	ID	HUMAN_OBSERVATION	2018
98.081236	3.569842	Indonesia	ID	HUMAN_OBSERVATION	2018
97.636171	3.007971	Indonesia	ID	HUMAN_OBSERVATION	2018
97.59275	3.013669	Indonesia	ID	HUMAN_OBSERVATION	2018
97.548707	3.190221	Indonesia	ID	HUMAN_OBSERVATION	2018
97.52409	3.142498	Indonesia	ID	HUMAN_OBSERVATION	2018
97.424843	3.002543	Indonesia	ID	HUMAN_OBSERVATION	2018
97.475631	3.108823	Indonesia	ID	HUMAN_OBSERVATION	2018
97.485592	3.100101	Indonesia	ID	HUMAN_OBSERVATION	2018
97.496522	3.1573	Indonesia	ID	HUMAN_OBSERVATION	2018
97.477032	3.029169	Indonesia	ID	HUMAN_OBSERVATION	2018
97.400232	3.039663	Indonesia	ID	HUMAN_OBSERVATION	2018
97.413351	3.038615	Indonesia	ID	HUMAN_OBSERVATION	2018
97.427266	3.134549	Indonesia	ID	HUMAN_OBSERVATION	2018
97.576691	3.123643	Indonesia	ID	HUMAN_OBSERVATION	2018
97.409391	3.191454	Indonesia	ID	HUMAN_OBSERVATION	2018
97.427391	3.068915	Indonesia	ID	HUMAN_OBSERVATION	2018
97.440565	3.156967	Indonesia	ID	HUMAN_OBSERVATION	2018
97.49788	3.1625	Indonesia	ID	HUMAN_OBSERVATION	2018
97.423653	3.073628	Indonesia	ID	HUMAN_OBSERVATION	2018
97.503081	3.038191	Indonesia	ID	HUMAN_OBSERVATION	2018
97.507651	3.112643	Indonesia	ID	HUMAN_OBSERVATION	2018
97.579792	3.13223	Indonesia	ID	HUMAN_OBSERVATION	2018
97.517734	3.040004	Indonesia	ID	HUMAN_OBSERVATION	2018
97.496284	3.065332	Indonesia	ID	HUMAN_OBSERVATION	2018
97.423282	3.149724	Indonesia	ID	HUMAN_OBSERVATION	2018
97.504737	3.024761	Indonesia	ID	HUMAN_OBSERVATION	2018
97.501445	3.036298	Indonesia	ID	HUMAN_OBSERVATION	2018
98.18554	3.500185	Indonesia	ID	HUMAN_OBSERVATION	2018
97.4716	3.147394	Indonesia	ID	HUMAN_OBSERVATION	2018
97.452925	3.11707	Indonesia	ID	HUMAN_OBSERVATION	2018
97.459155	3.081252	Indonesia	ID	HUMAN_OBSERVATION	2018
97.552146	3.075379	Indonesia	ID	HUMAN_OBSERVATION	2018
97.73089	3.753478	Indonesia	ID	HUMAN_OBSERVATION	2018
97.658653	3.694526	Indonesia	ID	HUMAN_OBSERVATION	2018
97.789284	3.752163	Indonesia	ID	HUMAN_OBSERVATION	2018
97.642263	3.758462	Indonesia	ID	HUMAN_OBSERVATION	2018
97.666999	3.755906	Indonesia	ID	HUMAN_OBSERVATION	2018
97.70505	3.764972	Indonesia	ID	HUMAN_OBSERVATION	2018
97.716787	3.748174	Indonesia	ID	HUMAN_OBSERVATION	2018
97.727142	3.729623	Indonesia	ID	HUMAN_OBSERVATION	2018
97.706382	3.668487	Indonesia	ID	HUMAN_OBSERVATION	2018
97.789486	3.753038	Indonesia	ID	HUMAN_OBSERVATION	2018
97.402322	3.089514	Indonesia	ID	HUMAN_OBSERVATION	2018
97.418634	3.069223	Indonesia	ID	HUMAN_OBSERVATION	2018
97.406736	3.026062	Indonesia	ID	HUMAN_OBSERVATION	2018
97.504811	3.11705	Indonesia	ID	HUMAN_OBSERVATION	2018
97.446505	3.047715	Indonesia	ID	HUMAN_OBSERVATION	2018
97.546191	3.023196	Indonesia	ID	HUMAN_OBSERVATION	2018
97.486065	3.008122	Indonesia	ID	HUMAN_OBSERVATION	2018
97.547972	3.122351	Indonesia	ID	HUMAN_OBSERVATION	2018
97.565081	3.154255	Indonesia	ID	HUMAN_OBSERVATION	2018
97.788687	3.697154	Indonesia	ID	HUMAN_OBSERVATION	2018
97.64371	3.607014	Indonesia	ID	HUMAN_OBSERVATION	2018
98.078469	3.42182	Indonesia	ID	HUMAN_OBSERVATION	2018
97.584293	3.138809	Indonesia	ID	HUMAN_OBSERVATION	2018
97.575714	3.143419	Indonesia	ID	HUMAN_OBSERVATION	2018
97.548618	3.167064	Indonesia	ID	HUMAN_OBSERVATION	2018
97.452655	3.084637	Indonesia	ID	HUMAN_OBSERVATION	2018
97.451427	3.057152	Indonesia	ID	HUMAN_OBSERVATION	2018
97.495286	3.111401	Indonesia	ID	HUMAN_OBSERVATION	2018
97.474751	3.05313	Indonesia	ID	HUMAN_OBSERVATION	2018
97.514542	3.13502	Indonesia	ID	HUMAN_OBSERVATION	2018
98.036545	3.431753	Indonesia	ID	HUMAN_OBSERVATION	2018
98.118675	3.545943	Indonesia	ID	HUMAN_OBSERVATION	2018
98.155001	3.478496	Indonesia	ID	HUMAN_OBSERVATION	2018
98.095889	3.529784	Indonesia	ID	HUMAN_OBSERVATION	2018
97.57608	3.192839	Indonesia	ID	HUMAN_OBSERVATION	2017
97.992048	3.661358	Indonesia	ID	HUMAN_OBSERVATION	2017
97.75838	3.754177	Indonesia	ID	HUMAN_OBSERVATION	2017
97.614668	3.68772	Indonesia	ID	HUMAN_OBSERVATION	2017
97.653476	3.6195	Indonesia	ID	HUMAN_OBSERVATION	2017
97.752432	3.713305	Indonesia	ID	HUMAN_OBSERVATION	2017
97.740742	3.65035	Indonesia	ID	HUMAN_OBSERVATION	2017
97.201816	3.925467	Indonesia	ID	HUMAN_OBSERVATION	2017
97.770351	2.581004	Indonesia	ID	HUMAN_OBSERVATION	2017
97.7019	2.413806	Indonesia	ID	HUMAN_OBSERVATION	2017
98.148572	3.531881	Indonesia	ID	HUMAN_OBSERVATION	2017
98.135333	3.417375	Indonesia	ID	HUMAN_OBSERVATION	2017
98.078477	3.562903	Indonesia	ID	HUMAN_OBSERVATION	2017
97.540218	3.098981	Indonesia	ID	HUMAN_OBSERVATION	2017
98.185778	3.578181	Indonesia	ID	HUMAN_OBSERVATION	2017
98.16646	3.552223	Indonesia	ID	HUMAN_OBSERVATION	2017
97.587366	3.055161	Indonesia	ID	HUMAN_OBSERVATION	2017
