decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
110.361951	1.312036	Malaysia	MY	HUMAN_OBSERVATION	2024
118.519084	5.050251	Malaysia	MY	HUMAN_OBSERVATION	2024
117.798135	5.143823	Malaysia	MY	HUMAN_OBSERVATION	2024
118.109986	5.517603	Malaysia	MY	HUMAN_OBSERVATION	2024
111.887161	-3.033493	Indonesia	ID	HUMAN_OBSERVATION	2024
111.898812	-2.623028	Indonesia	ID	HUMAN_OBSERVATION	2024
111.952987	-2.829928	Indonesia	ID	HUMAN_OBSERVATION	2024
113.603297	-1.864973	Indonesia	ID	HUMAN_OBSERVATION	2024
111.852889	-2.722969	Indonesia	ID	HUMAN_OBSERVATION	2023
117.665688	4.966719	Malaysia	MY	HUMAN_OBSERVATION	2023
114.580457	-2.178076	Indonesia	ID	HUMAN_OBSERVATION	2023
111.817894	-2.739241	Indonesia	ID	HUMAN_OBSERVATION	2023
117.940888	4.9535	Malaysia	MY	HUMAN_OBSERVATION	2023
117.983041	4.944232	Malaysia	MY	HUMAN_OBSERVATION	2023
117.817008	4.974436	Malaysia	MY	HUMAN_OBSERVATION	2023
117.645886	4.857906	Malaysia	MY	HUMAN_OBSERVATION	2023
117.718118	4.927471	Malaysia	MY	HUMAN_OBSERVATION	2023
117.689034	4.884675	Malaysia	MY	HUMAN_OBSERVATION	2023
110.210483	1.556536	Malaysia	MY	HUMAN_OBSERVATION	2023
110.313155	1.469604	Malaysia	MY	HUMAN_OBSERVATION	2023
118.263647	5.486122	Malaysia	MY	HUMAN_OBSERVATION	2023
117.934282	5.923433	Malaysia	MY	HUMAN_OBSERVATION	2023
111.823929	-2.631557	Indonesia	ID	HUMAN_OBSERVATION	2023
111.868007	-2.710293	Indonesia	ID	HUMAN_OBSERVATION	2023
118.212892	5.534109	Malaysia	MY	HUMAN_OBSERVATION	2023
117.772277	5.183714	Malaysia	MY	HUMAN_OBSERVATION	2023
117.673838	5.123503	Malaysia	MY	HUMAN_OBSERVATION	2023
117.668301	5.183224	Malaysia	MY	HUMAN_OBSERVATION	2023
