decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
109.600373	-7.147634	Indonesia	ID	HUMAN_OBSERVATION	2024
109.701977	-7.090384	Indonesia	ID	HUMAN_OBSERVATION	2024
107.541048	-7.27422	Indonesia	ID	HUMAN_OBSERVATION	2023
107.144175	-6.678005	Indonesia	ID	HUMAN_OBSERVATION	2023
108.485293	-6.999625	Indonesia	ID	HUMAN_OBSERVATION	2023
108.536031	-6.970188	Indonesia	ID	HUMAN_OBSERVATION	2023
106.523599	-6.69531	Indonesia	ID	HUMAN_OBSERVATION	2023
106.588963	-6.659218	Indonesia	ID	HUMAN_OBSERVATION	2023
106.554252	-6.617526	Indonesia	ID	HUMAN_OBSERVATION	2023
106.478588	-6.647893	Indonesia	ID	HUMAN_OBSERVATION	2023
106.692825	-6.745385	Indonesia	ID	HUMAN_OBSERVATION	2023
106.711691	-6.66228	Indonesia	ID	HUMAN_OBSERVATION	2023
106.642975	-6.7283	Indonesia	ID	HUMAN_OBSERVATION	2023
106.462724	-6.640075	Indonesia	ID	HUMAN_OBSERVATION	2022
107.011288	-6.781467	Indonesia	ID	HUMAN_OBSERVATION	2022
106.892883	-6.695168	Indonesia	ID	HUMAN_OBSERVATION	2022
106.97947	-6.729647	Indonesia	ID	HUMAN_OBSERVATION	2022
106.819461	-6.791853	Indonesia	ID	HUMAN_OBSERVATION	2022
106.426277	-6.727644	Indonesia	ID	HUMAN_OBSERVATION	2021
106.930918	-6.634831	Indonesia	ID	HUMAN_OBSERVATION	2021
106.818662	-6.734931	Indonesia	ID	HUMAN_OBSERVATION	2020
106.432957	-6.78205	Indonesia	ID	HUMAN_OBSERVATION	2020
108.492673	-6.959551	Indonesia	ID	HUMAN_OBSERVATION	2020
106.515635	-6.75929	Indonesia	ID	HUMAN_OBSERVATION	2019
107.180065	-6.755798	Indonesia	ID	HUMAN_OBSERVATION	2019
106.924057	-6.766925	Indonesia	ID	HUMAN_OBSERVATION	2019
106.989057	-6.794253	Indonesia	ID	HUMAN_OBSERVATION	2019
108.406851	-6.901315	Indonesia	ID	HUMAN_OBSERVATION	2019
106.465909	-6.716439	Indonesia	ID	HUMAN_OBSERVATION	2019
106.567814	-6.722399	Indonesia	ID	HUMAN_OBSERVATION	2019
106.511515	-6.768211	Indonesia	ID	HUMAN_OBSERVATION	2019
108.263689	-7.363371	Indonesia	ID	HUMAN_OBSERVATION	2018
106.914351	-6.706781	Indonesia	ID	HUMAN_OBSERVATION	2018
106.57473	-6.671742	Indonesia	ID	HUMAN_OBSERVATION	2018
106.528638	-6.696688	Indonesia	ID	HUMAN_OBSERVATION	2018
106.822129	-6.630253	Indonesia	ID	HUMAN_OBSERVATION	2018
109.206898	-7.235331	Indonesia	ID	MATERIAL_CITATION	2018
109.387569	-7.218803	Indonesia	ID	HUMAN_OBSERVATION	2018
108.494409	-6.948141	Indonesia	ID	HUMAN_OBSERVATION	2017
106.826504	-6.694825	Indonesia	ID	HUMAN_OBSERVATION	2017
107.519552	-7.282072	Indonesia	ID	HUMAN_OBSERVATION	2015
107.517594	-7.335728	Indonesia	ID	HUMAN_OBSERVATION	2015
107.461355	-7.335848	Indonesia	ID	HUMAN_OBSERVATION	2015
106.882954	-6.771308	Indonesia	ID	HUMAN_OBSERVATION	2015
106.88713	-6.692253	Indonesia	ID	HUMAN_OBSERVATION	2015
106.512805	-6.760478	Indonesia	ID	HUMAN_OBSERVATION	2014
106.530768	-6.669809	Indonesia	ID	HUMAN_OBSERVATION	2014
106.829278	-6.87067	Indonesia	ID	HUMAN_OBSERVATION	2011
106.981187	-6.657382	Indonesia	ID	HUMAN_OBSERVATION	2010
106.446318	-6.700629	Indonesia	ID	MATERIAL_CITATION	2006
106.933333	-6.8	Indonesia	ID	MACHINE_OBSERVATION	1984
107.920998	-6.9832	Indonesia	ID	PRESERVED_SPECIMEN	1958
106.866667	-6.7	Indonesia	ID	PRESERVED_SPECIMEN	1930
109.3454	-7.212591	Indonesia	ID	PRESERVED_SPECIMEN	1929
109.345438	-7.213182	Indonesia	ID	PRESERVED_SPECIMEN	1929
107.0167	-6.75	Indonesia	ID	PRESERVED_SPECIMEN	1916
107.0333	-7.0667	Indonesia	ID	PRESERVED_SPECIMEN	1907
