decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-83.433177	8.899602	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.090828	8.765372	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.424261	8.457401	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.518121	8.591383	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.597829	8.773286	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.550167	8.620948	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.588768	8.688783	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.55419	8.515354	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.131748	9.572425	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.439833	8.802716	Costa Rica	CR	HUMAN_OBSERVATION	2024
-83.360048	8.517527	Costa Rica	CR	HUMAN_OBSERVATION	2024
-84.186905	9.47631	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.44687	8.560473	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.119144	8.657354	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.482098	8.591361	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.463487	8.996669	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.597938	8.532406	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.467447	8.518633	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.514746	8.502118	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.581691	8.829567	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.032209	9.521294	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.053029	9.585632	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.055373	9.539587	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.124687	9.563004	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.001753	9.555704	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.087464	9.520242	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.52805	8.672124	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.191059	9.508012	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.02959	9.546269	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.013692	9.459989	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.589191	8.995596	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.525764	8.947183	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.002433	9.354699	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.551627	8.678765	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.139903	9.515489	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.175599	9.503435	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.056483	9.573699	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.359523	8.464404	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.52005	8.85532	Costa Rica	CR	HUMAN_OBSERVATION	2023
-82.953378	8.357416	Panama	PA	HUMAN_OBSERVATION	2023
-83.504793	8.505782	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.469703	8.591843	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.451193	8.923149	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.186701	9.51627	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.079025	9.445421	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.058071	9.493153	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.454607	8.953754	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.588988	8.997103	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.579295	8.46631	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.45376	8.520011	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.404708	8.948792	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.170406	9.48944	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.500873	8.583037	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.583122	8.609611	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.132898	9.545189	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.025263	9.510947	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.001441	9.513153	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.443577	8.968609	Costa Rica	CR	HUMAN_OBSERVATION	2023
-82.50708	8.342666	Panama	PA	HUMAN_OBSERVATION	2023
-82.561072	8.373852	Panama	PA	HUMAN_OBSERVATION	2023
-84.101028	10.22965	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.4468	8.568811	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.537186	8.467823	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.143425	9.386142	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.059269	9.437108	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.198187	9.521881	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.019882	8.781325	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.105451	9.570011	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.138569	9.442769	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.270334	9.767059	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.161797	9.401773	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.104965	9.431379	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.112939	9.383729	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.417805	8.899267	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.082111	9.455847	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.502652	8.554132	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.08655	8.648049	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.064385	8.429473	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.507371	8.461297	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.244669	8.710049	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.423931	8.883308	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.291967	8.493086	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.296924	8.496099	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.062094	8.590415	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.022871	8.787707	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.195879	9.470489	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.005252	9.505427	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.419218	8.516904	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.076021	9.572899	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.154548	9.407703	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.021357	9.478567	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.009352	9.547654	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.160308	8.695005	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.406022	8.751316	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.412807	8.751523	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.475129	8.627151	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.456259	8.729042	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.21883	9.645489	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.578555	8.816618	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.111338	9.549743	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.350054	9.772419	Costa Rica	CR	HUMAN_OBSERVATION	2023
-82.64	8.616267	Panama	PA	HUMAN_OBSERVATION	2023
-83.678345	9.772537	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.44076	8.586339	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.109434	9.595156	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.561162	8.922671	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.477171	8.472458	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.099148	9.451664	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.58479	8.826937	Costa Rica	CR	HUMAN_OBSERVATION	2023
-83.533155	8.713339	Costa Rica	CR	HUMAN_OBSERVATION	2023
-84.096298	9.480245	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.4574	8.45806	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.475942	8.469767	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.078677	8.786281	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.032046	9.410634	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.11093	9.448526	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.163743	9.513256	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.512492	8.858964	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.057896	8.76281	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.020926	9.363363	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.004618	9.507257	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.033046	9.496479	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.593705	8.964416	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.471616	8.540674	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.069695	9.413009	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.146809	9.483562	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.627708	9.149204	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.623311	9.117793	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.544792	8.912238	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.084848	9.575435	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.158596	9.419609	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.003516	9.685471	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.185614	9.556552	Costa Rica	CR	HUMAN_OBSERVATION	2022
-82.93946	8.195346	Panama	PA	HUMAN_OBSERVATION	2022
-83.517664	8.817357	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.449568	8.920945	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.466539	8.860307	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.156551	9.455711	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.077127	9.428961	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.416936	8.536904	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.414555	8.48979	Costa Rica	CR	HUMAN_OBSERVATION	2022
-83.445235	8.468811	Costa Rica	CR	HUMAN_OBSERVATION	2022
-84.084155	9.46544	Costa Rica	CR	HUMAN_OBSERVATION	2022
