decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-52.290886	4.873762	French Guiana	GF	HUMAN_OBSERVATION	2024
-55.4504	5.774129	Suriname	SR	HUMAN_OBSERVATION	2023
-52.577093	5.072591	French Guiana	GF	HUMAN_OBSERVATION	2023
-55.073265	5.690234	Suriname	SR	HUMAN_OBSERVATION	2023
-55.463097	5.762597	Suriname	SR	HUMAN_OBSERVATION	2023
-55.705982	5.843505	Suriname	SR	HUMAN_OBSERVATION	2023
-56.6986	5.58881	Suriname	SR	HUMAN_OBSERVATION	2023
-57.170107	4.446237	Suriname	SR	HUMAN_OBSERVATION	2023
-57.170202	4.44642	Suriname	SR	HUMAN_OBSERVATION	2023
-55.047161	5.6561	Suriname	SR	HUMAN_OBSERVATION	2023
-52.454717	4.94071	French Guiana	GF	HUMAN_OBSERVATION	2023
-56.210877	4.724625	Suriname	SR	HUMAN_OBSERVATION	2023
-55.123315	4.677368	Suriname	SR	HUMAN_OBSERVATION	2023
-53.766703	5.666647	French Guiana	GF	HUMAN_OBSERVATION	2023
-52.253051	4.885622	French Guiana	GF	HUMAN_OBSERVATION	2023
-52.345991	4.864682	French Guiana	GF	HUMAN_OBSERVATION	2023
-55.255486	5.126599	Suriname	SR	HUMAN_OBSERVATION	2023
-59.309885	3.752782	Guyana	GY	HUMAN_OBSERVATION	2023
-48.277061	-1.201399	Brazil	BR	HUMAN_OBSERVATION	2023
-55.434461	4.187571	Suriname	SR	HUMAN_OBSERVATION	2023
-52.295553	4.866518	French Guiana	GF	HUMAN_OBSERVATION	2023
-52.217308	4.651497	French Guiana	GF	HUMAN_OBSERVATION	2022
-56.904391	5.948923	Suriname	SR	HUMAN_OBSERVATION	2022
-55.452243	4.089779	Suriname	SR	HUMAN_OBSERVATION	2022
-53.202976	3.626497	French Guiana	GF	HUMAN_OBSERVATION	2022
-53.125782	3.933889	French Guiana	GF	HUMAN_OBSERVATION	2022
-59.233847	7.812159	Guyana	GY	HUMAN_OBSERVATION	2022
-52.259253	4.889283	French Guiana	GF	HUMAN_OBSERVATION	2022
-52.472218	4.897721	French Guiana	GF	HUMAN_OBSERVATION	2022
-52.679149	5.167073	French Guiana	GF	HUMAN_OBSERVATION	2022
