decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-59.890582	-3.194913	Brazil	BR	HUMAN_OBSERVATION	2023
-59.948595	-3.16536	Brazil	BR	HUMAN_OBSERVATION	2023
-59.973977	-3.127025	Brazil	BR	HUMAN_OBSERVATION	2023
-59.894296	-3.083908	Brazil	BR	HUMAN_OBSERVATION	2023
-59.816068	-3.142091	Brazil	BR	HUMAN_OBSERVATION	2023
-59.840123	-3.163162	Brazil	BR	HUMAN_OBSERVATION	2023
-59.972714	-3.133851	Brazil	BR	HUMAN_OBSERVATION	2023
-59.876081	-3.147513	Brazil	BR	HUMAN_OBSERVATION	2023
-59.822655	-3.170873	Brazil	BR	HUMAN_OBSERVATION	2023
-59.802479	-3.170596	Brazil	BR	HUMAN_OBSERVATION	2023
-60.423226	-3.271255	Brazil	BR	HUMAN_OBSERVATION	2022
-59.941897	-3.139861	Brazil	BR	HUMAN_OBSERVATION	2022
-58.383996	-9.996021	Brazil	BR	HUMAN_OBSERVATION	2022
-58.238209	-9.816317	Brazil	BR	HUMAN_OBSERVATION	2022
-58.315184	-9.908451	Brazil	BR	HUMAN_OBSERVATION	2022
-60.338292	-3.313643	Brazil	BR	HUMAN_OBSERVATION	2022
-60.330807	-3.223592	Brazil	BR	HUMAN_OBSERVATION	2022
-59.800198	-3.031086	Brazil	BR	HUMAN_OBSERVATION	2022
-59.969476	-3.669654	Brazil	BR	HUMAN_OBSERVATION	2021
-59.956378	-3.697954	Brazil	BR	HUMAN_OBSERVATION	2021
-59.993215	-3.130172	Brazil	BR	HUMAN_OBSERVATION	2021
-59.911623	-3.102438	Brazil	BR	HUMAN_OBSERVATION	2021
-60.404155	-3.183669	Brazil	BR	HUMAN_OBSERVATION	2019
-60.043362	-3.010321	Brazil	BR	HUMAN_OBSERVATION	2019
-59.113379	-3.392985	Brazil	BR	HUMAN_OBSERVATION	2019
-59.380587	-3.425741	Brazil	BR	HUMAN_OBSERVATION	2019
-59.91042	-8.292722	Brazil	BR	HUMAN_OBSERVATION	2019
-59.934292	-3.194311	Brazil	BR	HUMAN_OBSERVATION	2019
-59.895569	-3.031511	Brazil	BR	HUMAN_OBSERVATION	2018
-59.840286	-3.054386	Brazil	BR	HUMAN_OBSERVATION	2018
-59.890103	-3.082895	Brazil	BR	HUMAN_OBSERVATION	2017
-59.89332	-3.042329	Brazil	BR	HUMAN_OBSERVATION	2016
-59.87572	-3.082682	Brazil	BR	HUMAN_OBSERVATION	2015
-60.913354	-2.713016	Brazil	BR	HUMAN_OBSERVATION	2015
-59.996428	-3.611708	Brazil	BR	HUMAN_OBSERVATION	2014
-62.238212	-8.668777	Brazil	BR	HUMAN_OBSERVATION	2013
-62.188029	-9.077442	Brazil	BR	HUMAN_OBSERVATION	2013
-59.833593	-3.014496	Brazil	BR	HUMAN_OBSERVATION	2012
-60.494561	-2.90055	Brazil	BR	HUMAN_OBSERVATION	2010
-59.879819	-3.14996	Brazil	BR	HUMAN_OBSERVATION	2000
-60.63	-9.17	Brazil	BR	PRESERVED_SPECIMEN	1975
-58.25	-3.3	Brazil	BR	PRESERVED_SPECIMEN	1936
-61.63	-6.02	Brazil	BR	PRESERVED_SPECIMEN	NA
-60.26	-13.3	Brazil	BR	PRESERVED_SPECIMEN	NA
