decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-73.359672	3.829459	Colombia	CO	HUMAN_OBSERVATION	2024
-73.359402	3.829569	Colombia	CO	HUMAN_OBSERVATION	2024
-73.359389	3.829526	Colombia	CO	HUMAN_OBSERVATION	2024
-73.594453	3.63149	Colombia	CO	HUMAN_OBSERVATION	2023
-71.232789	-11.996875	Peru	PE	HUMAN_OBSERVATION	2023
-71.232822	-11.997255	Peru	PE	HUMAN_OBSERVATION	2023
-72.287719	5.371848	Colombia	CO	HUMAN_OBSERVATION	2023
-72.291682	5.367606	Colombia	CO	HUMAN_OBSERVATION	2023
-72.279313	5.355137	Colombia	CO	HUMAN_OBSERVATION	2023
-72.279296	5.355246	Colombia	CO	HUMAN_OBSERVATION	2023
-55.182573	4.946654	Suriname	SR	HUMAN_OBSERVATION	2023
-73.63686	4.179213	Colombia	CO	HUMAN_OBSERVATION	2023
-70.051403	-4.146185	Peru	PE	HUMAN_OBSERVATION	2023
-67.87993	-14.4626	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-73.586288	3.890185	Colombia	CO	HUMAN_OBSERVATION	2023
-73.559555	4.335644	Colombia	CO	HUMAN_OBSERVATION	2023
-73.599157	4.26859	Colombia	CO	HUMAN_OBSERVATION	2023
-61.436771	-11.489253	Brazil	BR	HUMAN_OBSERVATION	2023
-64.841675	-3.0566	Brazil	BR	HUMAN_OBSERVATION	2023
-69.114286	-12.225834	Peru	PE	HUMAN_OBSERVATION	2023
-73.589149	3.885828	Colombia	CO	MACHINE_OBSERVATION	2023
-64.411165	-12.421214	Brazil	BR	HUMAN_OBSERVATION	2023
-63.218847	-17.711032	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-61.109546	1.278706	Brazil	BR	HUMAN_OBSERVATION	2023
-71.391678	-12.789478	Peru	PE	HUMAN_OBSERVATION	2023
-73.58483	3.89129	Colombia	CO	MACHINE_OBSERVATION	2023
-73.58164	3.88862	Colombia	CO	MACHINE_OBSERVATION	2023
-55.251442	5.112924	Suriname	SR	HUMAN_OBSERVATION	2023
-48.257486	-5.792601	Brazil	BR	HUMAN_OBSERVATION	2023
-50.194271	-6.106448	Brazil	BR	HUMAN_OBSERVATION	2023
-49.926422	-6.15011	Brazil	BR	HUMAN_OBSERVATION	2023
-60.309525	-3.390289	Brazil	BR	HUMAN_OBSERVATION	2023
-56.303336	-4.54799	Brazil	BR	HUMAN_OBSERVATION	2023
-56.780347	-4.378968	Brazil	BR	HUMAN_OBSERVATION	2023
-73.282649	-4.298344	Peru	PE	HUMAN_OBSERVATION	2023
-73.526617	3.930423	Colombia	CO	HUMAN_OBSERVATION	2023
-60.116916	-2.988467	Brazil	BR	HUMAN_OBSERVATION	2023
-72.245816	5.623388	Colombia	CO	HUMAN_OBSERVATION	2023
-72.166923	5.67383	Colombia	CO	HUMAN_OBSERVATION	2023
-72.18269	5.679277	Colombia	CO	HUMAN_OBSERVATION	2023
-72.612217	5.184646	Colombia	CO	HUMAN_OBSERVATION	2023
-59.981338	-2.573257	Brazil	BR	HUMAN_OBSERVATION	2023
-50.342073	-6.146406	Brazil	BR	HUMAN_OBSERVATION	2023
-69.284563	-12.811285	Peru	PE	HUMAN_OBSERVATION	2023
-76.031743	1.784589	Colombia	CO	HUMAN_OBSERVATION	2023
-64.181453	-11.911396	Brazil	BR	HUMAN_OBSERVATION	2023
-72.236483	4.302298	Colombia	CO	HUMAN_OBSERVATION	2023
-53.38597	3.870953	French Guiana	GF	HUMAN_OBSERVATION	2023
-48.434891	-6.218003	Brazil	BR	HUMAN_OBSERVATION	2023
-73.309509	5.164691	Colombia	CO	HUMAN_OBSERVATION	2023
-69.672254	-12.047353	Peru	PE	HUMAN_OBSERVATION	2023
-73.796343	2.203898	Colombia	CO	HUMAN_OBSERVATION	2023
-73.797862	2.202574	Colombia	CO	HUMAN_OBSERVATION	2023
-71.506891	-13.038911	Peru	PE	HUMAN_OBSERVATION	2023
-71.494497	-13.025198	Peru	PE	HUMAN_OBSERVATION	2023
-54.923313	-2.533516	Brazil	BR	HUMAN_OBSERVATION	2023
-69.217605	-12.597847	Peru	PE	HUMAN_OBSERVATION	2023
-62.829271	-9.87982	Brazil	BR	HUMAN_OBSERVATION	2023
-63.956224	-8.692959	Brazil	BR	HUMAN_OBSERVATION	2023
-71.239952	-11.989063	Peru	PE	HUMAN_OBSERVATION	2023
-71.239863	-11.989013	Peru	PE	HUMAN_OBSERVATION	2023
-71.547158	-13.056736	Peru	PE	HUMAN_OBSERVATION	2023
-55.931865	-9.597604	Brazil	BR	HUMAN_OBSERVATION	2023
-69.032488	-12.606199	Peru	PE	HUMAN_OBSERVATION	2023
-63.066669	-17.778671	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-50.535091	-6.08865	Brazil	BR	HUMAN_OBSERVATION	2023
-70.374465	2.930965	Colombia	CO	HUMAN_OBSERVATION	2023
-73.302252	-4.314243	Peru	PE	HUMAN_OBSERVATION	2023
-67.572597	-14.600501	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-66.771054	-14.117434	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-66.772538	-14.117074	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2023
-56.739922	5.370449	Suriname	SR	HUMAN_OBSERVATION	2023
-73.236831	3.840925	Colombia	CO	HUMAN_OBSERVATION	2023
-76.208472	1.721647	Colombia	CO	MACHINE_OBSERVATION	2023
-61.145821	1.362675	Brazil	BR	HUMAN_OBSERVATION	2022
-75.775829	1.797031	Colombia	CO	HUMAN_OBSERVATION	2022
-72.881691	4.571725	Colombia	CO	HUMAN_OBSERVATION	2022
-58.653965	4.664641	Guyana	GY	HUMAN_OBSERVATION	2022
-72.4643	5.4587	Colombia	CO	MACHINE_OBSERVATION	2022
-66.364391	-11.172842	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-55.747659	3.773047	Suriname	SR	HUMAN_OBSERVATION	2022
-57.08447	-9.391451	Brazil	BR	HUMAN_OBSERVATION	2022
-63.110883	-18.018683	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-55.813487	-1.765703	Brazil	BR	HUMAN_OBSERVATION	2022
-63.596614	-18.106527	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-63.596582	-18.106372	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-73.650085	4.179267	Colombia	CO	HUMAN_OBSERVATION	2022
-67.535092	-14.429611	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-72.346457	5.60143	Colombia	CO	HUMAN_OBSERVATION	2022
-73.266009	-1.725289	Colombia	CO	HUMAN_OBSERVATION	2022
-56.096235	-9.873728	Brazil	BR	HUMAN_OBSERVATION	2022
-65.396078	-13.769393	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-70.355643	-3.788854	Colombia	CO	HUMAN_OBSERVATION	2022
-69.034119	-12.607763	Peru	PE	HUMAN_OBSERVATION	2022
-70.098073	-12.567697	Peru	PE	HUMAN_OBSERVATION	2022
-75.934828	2.162695	Colombia	CO	HUMAN_OBSERVATION	2022
-74.518182	3.90511	Colombia	CO	HUMAN_OBSERVATION	2022
-72.335492	5.562336	Colombia	CO	HUMAN_OBSERVATION	2022
-72.064692	4.344364	Colombia	CO	HUMAN_OBSERVATION	2022
-54.032135	5.476545	French Guiana	GF	HUMAN_OBSERVATION	2022
-73.230526	-4.311491	Peru	PE	HUMAN_OBSERVATION	2022
-76.22419	1.71725	Colombia	CO	MACHINE_OBSERVATION	2022
-45.736929	-1.296157	Brazil	BR	HUMAN_OBSERVATION	2022
-69.046976	-12.603516	Peru	PE	HUMAN_OBSERVATION	2022
-69.041885	-12.605494	Peru	PE	HUMAN_OBSERVATION	2022
-63.068781	-17.773801	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-71.545815	-13.056194	Peru	PE	HUMAN_OBSERVATION	2022
-55.938169	-9.593945	Brazil	BR	HUMAN_OBSERVATION	2022
-72.4331	5.5115	Colombia	CO	HUMAN_OBSERVATION	2022
-72.433131	5.511526	Colombia	CO	HUMAN_OBSERVATION	2022
-52.53165	3.9254	French Guiana	GF	HUMAN_OBSERVATION	2022
-69.299708	-12.802109	Peru	PE	HUMAN_OBSERVATION	2022
-69.345148	-12.791374	Peru	PE	HUMAN_OBSERVATION	2022
-69.06538	-12.602642	Peru	PE	HUMAN_OBSERVATION	2022
-69.048107	-12.60541	Peru	PE	HUMAN_OBSERVATION	2022
-69.045402	-12.601728	Peru	PE	HUMAN_OBSERVATION	2022
-55.499331	-11.83442	Brazil	BR	HUMAN_OBSERVATION	2022
-63.250225	-17.767258	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-55.938498	-9.592491	Brazil	BR	HUMAN_OBSERVATION	2022
-71.546152	-13.055763	Peru	PE	HUMAN_OBSERVATION	2022
-55.498012	-11.835637	Brazil	BR	HUMAN_OBSERVATION	2022
-55.932515	-9.596059	Brazil	BR	HUMAN_OBSERVATION	2022
-71.526835	-13.03537	Peru	PE	HUMAN_OBSERVATION	2022
-70.963633	-12.210292	Peru	PE	HUMAN_OBSERVATION	2022
-65.003525	-14.438845	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-73.557425	4.339248	Colombia	CO	HUMAN_OBSERVATION	2022
-64.180654	-11.99587	Brazil	BR	HUMAN_OBSERVATION	2022
-70.355707	-3.788679	Colombia	CO	HUMAN_OBSERVATION	2022
-59.41233	-9.918265	Brazil	BR	HUMAN_OBSERVATION	2022
-55.902105	-9.539031	Brazil	BR	HUMAN_OBSERVATION	2022
-72.411054	5.49316	Colombia	CO	HUMAN_OBSERVATION	2022
-72.064692	4.336811	Colombia	CO	HUMAN_OBSERVATION	2022
-64.99764	-2.838631	Brazil	BR	HUMAN_OBSERVATION	2022
-65.001739	-2.833895	Brazil	BR	HUMAN_OBSERVATION	2022
-65.001524	-2.833996	Brazil	BR	HUMAN_OBSERVATION	2022
-56.373741	-1.462533	Brazil	BR	HUMAN_OBSERVATION	2022
-67.534593	-14.466713	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-63.896875	-8.89796	Brazil	BR	HUMAN_OBSERVATION	2022
-63.72469	-16.188733	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-61.152556	1.290782	Brazil	BR	HUMAN_OBSERVATION	2022
-61.126544	1.822514	Brazil	BR	HUMAN_OBSERVATION	2022
-71.723036	-12.040649	Peru	PE	HUMAN_OBSERVATION	2022
-66.061153	-11.011373	Bolivia (Plurinational State of)	BO	HUMAN_OBSERVATION	2022
-73.561911	4.340443	Colombia	CO	HUMAN_OBSERVATION	2022
-76.398366	0.480218	Colombia	CO	HUMAN_OBSERVATION	2022
-76.391307	0.47991	Colombia	CO	HUMAN_OBSERVATION	2022
-70.112655	-12.575133	Peru	PE	HUMAN_OBSERVATION	2022
-71.546045	-13.055784	Peru	PE	HUMAN_OBSERVATION	2022
-71.54417	-13.055815	Peru	PE	HUMAN_OBSERVATION	2022
-61.972387	-10.902108	Brazil	BR	HUMAN_OBSERVATION	2022
-71.54859	-12.503372	Peru	PE	HUMAN_OBSERVATION	2022
-70.094678	-12.561785	Peru	PE	HUMAN_OBSERVATION	2022
-69.045623	-12.609415	Peru	PE	HUMAN_OBSERVATION	2022
-69.034555	-12.602517	Peru	PE	HUMAN_OBSERVATION	2022
-70.100205	-12.569187	Peru	PE	HUMAN_OBSERVATION	2022
