decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
86.984931	23.392119	India	IN	HUMAN_OBSERVATION	2024
72.888617	19.220549	India	IN	HUMAN_OBSERVATION	2024
76.502574	26.017327	India	IN	HUMAN_OBSERVATION	2024
76.391153	25.934383	India	IN	HUMAN_OBSERVATION	2024
80.635088	22.284269	India	IN	HUMAN_OBSERVATION	2024
80.624297	22.290674	India	IN	HUMAN_OBSERVATION	2024
82.236613	22.788937	India	IN	HUMAN_OBSERVATION	2024
85.825786	20.404225	India	IN	HUMAN_OBSERVATION	2024
72.653744	23.193023	India	IN	HUMAN_OBSERVATION	2024
74.575117	26.483361	India	IN	HUMAN_OBSERVATION	2024
76.438208	26.042322	India	IN	HUMAN_OBSERVATION	2024
81.960677	20.933847	India	IN	HUMAN_OBSERVATION	2024
75.844792	26.981605	India	IN	HUMAN_OBSERVATION	2024
79.232976	21.633924	India	IN	HUMAN_OBSERVATION	2023
70.598476	21.16879	India	IN	HUMAN_OBSERVATION	2023
81.907	17.783	India	IN	HUMAN_OBSERVATION	2023
81.918	17.777	India	IN	HUMAN_OBSERVATION	2023
74.552818	26.490111	India	IN	HUMAN_OBSERVATION	2023
78.334439	17.522468	India	IN	HUMAN_OBSERVATION	2023
75.981106	28.870843	India	IN	HUMAN_OBSERVATION	2023
72.496673	23.237409	India	IN	HUMAN_OBSERVATION	2023
79.188588	18.467635	India	IN	HUMAN_OBSERVATION	2023
79.313195	20.142406	India	IN	HUMAN_OBSERVATION	2023
79.917067	25.30141	India	IN	HUMAN_OBSERVATION	2023
86.338228	23.329269	India	IN	HUMAN_OBSERVATION	2023
73.524226	22.471129	India	IN	HUMAN_OBSERVATION	2023
75.721329	25.059843	India	IN	HUMAN_OBSERVATION	2023
75.848007	26.990957	India	IN	HUMAN_OBSERVATION	2023
72.398658	23.134205	India	IN	HUMAN_OBSERVATION	2023
86.338078	23.329345	India	IN	HUMAN_OBSERVATION	2023
71.067886	21.098292	India	IN	HUMAN_OBSERVATION	2023
74.540105	26.475138	India	IN	HUMAN_OBSERVATION	2023
77.47822	21.491048	India	IN	HUMAN_OBSERVATION	2023
76.415753	26.00231	India	IN	HUMAN_OBSERVATION	2023
76.40846	25.993637	India	IN	HUMAN_OBSERVATION	2023
76.456922	26.023987	India	IN	HUMAN_OBSERVATION	2023
76.435479	26.037494	India	IN	HUMAN_OBSERVATION	2023
72.959528	24.611936	India	IN	HUMAN_OBSERVATION	2023
76.395321	26.031952	India	IN	HUMAN_OBSERVATION	2023
73.479683	22.161799	India	IN	HUMAN_OBSERVATION	2023
87.460397	22.503942	India	IN	HUMAN_OBSERVATION	2023
77.144959	20.106971	India	IN	HUMAN_OBSERVATION	2023
81.919512	21.851671	India	IN	HUMAN_OBSERVATION	2023
