decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
101.769908	3.755944	Malaysia	MY	HUMAN_OBSERVATION	2024
102.347589	2.562505	Malaysia	MY	HUMAN_OBSERVATION	2024
101.711014	3.643269	Malaysia	MY	HUMAN_OBSERVATION	2023
101.63761	3.644562	Malaysia	MY	HUMAN_OBSERVATION	2023
101.625621	3.646267	Malaysia	MY	HUMAN_OBSERVATION	2023
101.81642	3.445276	Malaysia	MY	HUMAN_OBSERVATION	2023
101.72137	3.716253	Malaysia	MY	HUMAN_OBSERVATION	2023
101.626106	3.694422	Malaysia	MY	HUMAN_OBSERVATION	2023
101.680705	3.691176	Malaysia	MY	HUMAN_OBSERVATION	2023
101.681949	5.831611	Thailand	TH	HUMAN_OBSERVATION	2023
101.698422	3.775352	Malaysia	MY	HUMAN_OBSERVATION	2023
101.894001	3.437654	Malaysia	MY	HUMAN_OBSERVATION	2023
101.608701	3.635982	Malaysia	MY	HUMAN_OBSERVATION	2023
101.647001	3.689442	Malaysia	MY	HUMAN_OBSERVATION	2023
101.691529	3.704406	Malaysia	MY	HUMAN_OBSERVATION	2023
101.689054	3.655882	Malaysia	MY	HUMAN_OBSERVATION	2023
101.723188	3.783046	Malaysia	MY	HUMAN_OBSERVATION	2023
101.701539	3.690259	Malaysia	MY	HUMAN_OBSERVATION	2023
101.724934	3.739902	Malaysia	MY	HUMAN_OBSERVATION	2023
101.984169	3.238172	Malaysia	MY	HUMAN_OBSERVATION	2022
101.638258	3.666527	Malaysia	MY	HUMAN_OBSERVATION	2022
101.601597	5.988599	Thailand	TH	HUMAN_OBSERVATION	2022
101.680606	5.906551	Thailand	TH	HUMAN_OBSERVATION	2022
101.718742	3.77489	Malaysia	MY	HUMAN_OBSERVATION	2022
101.36522	-1.673071	Indonesia	ID	HUMAN_OBSERVATION	2022
101.840552	5.915086	Thailand	TH	HUMAN_OBSERVATION	2022
101.920202	5.829349	Thailand	TH	HUMAN_OBSERVATION	2022
101.973023	5.801404	Thailand	TH	HUMAN_OBSERVATION	2022
101.973077	3.254101	Malaysia	MY	HUMAN_OBSERVATION	2022
101.699936	3.695645	Malaysia	MY	HUMAN_OBSERVATION	2022
101.841545	3.525237	Malaysia	MY	HUMAN_OBSERVATION	2022
101.877407	3.594704	Malaysia	MY	HUMAN_OBSERVATION	2022
101.955643	3.566565	Malaysia	MY	HUMAN_OBSERVATION	2022
101.732457	3.666307	Malaysia	MY	HUMAN_OBSERVATION	2022
101.972143	3.533164	Malaysia	MY	HUMAN_OBSERVATION	2022
101.975707	3.30424	Malaysia	MY	HUMAN_OBSERVATION	2022
101.68497	3.796866	Malaysia	MY	HUMAN_OBSERVATION	2022
101.839345	3.228745	Malaysia	MY	HUMAN_OBSERVATION	2021
101.843744	3.329838	Malaysia	MY	HUMAN_OBSERVATION	2021
101.675358	3.605298	Malaysia	MY	HUMAN_OBSERVATION	2021
101.858312	5.80332	Thailand	TH	HUMAN_OBSERVATION	2021
101.863694	5.886515	Thailand	TH	HUMAN_OBSERVATION	2021
102.189282	2.911444	Malaysia	MY	HUMAN_OBSERVATION	2021
102.094942	4.36543	Malaysia	MY	HUMAN_OBSERVATION	2020
101.67518	3.611821	Malaysia	MY	HUMAN_OBSERVATION	2020
101.768335	3.471023	Malaysia	MY	HUMAN_OBSERVATION	2020
101.378436	-1.637186	Indonesia	ID	HUMAN_OBSERVATION	2019
101.940445	3.584971	Malaysia	MY	HUMAN_OBSERVATION	2019
101.615987	3.771338	Malaysia	MY	HUMAN_OBSERVATION	2019
101.78395	3.750131	Malaysia	MY	HUMAN_OBSERVATION	2019
101.86902	3.436896	Malaysia	MY	HUMAN_OBSERVATION	2019
101.663297	3.603247	Malaysia	MY	HUMAN_OBSERVATION	2019
102.304561	2.252979	Malaysia	MY	HUMAN_OBSERVATION	2019
101.915052	3.438941	Malaysia	MY	HUMAN_OBSERVATION	2019
101.283004	-1.613332	Indonesia	ID	HUMAN_OBSERVATION	2019
101.987422	4.258905	Malaysia	MY	HUMAN_OBSERVATION	2019
102.129306	4.324569	Malaysia	MY	HUMAN_OBSERVATION	2019
101.9632	4.594101	Malaysia	MY	HUMAN_OBSERVATION	2018
101.776994	3.753538	Malaysia	MY	HUMAN_OBSERVATION	2018
101.891032	3.134558	Malaysia	MY	HUMAN_OBSERVATION	2018
101.660088	3.601223	Malaysia	MY	HUMAN_OBSERVATION	2018
101.722294	3.693043	Malaysia	MY	HUMAN_OBSERVATION	2018
101.766906	3.539858	Malaysia	MY	HUMAN_OBSERVATION	2018
101.608383	3.443543	Malaysia	MY	HUMAN_OBSERVATION	2018
102.111492	4.729515	Malaysia	MY	HUMAN_OBSERVATION	2018
101.793092	3.694596	Malaysia	MY	HUMAN_OBSERVATION	2018
101.611629	3.672574	Malaysia	MY	HUMAN_OBSERVATION	2017
101.642578	3.733152	Malaysia	MY	HUMAN_OBSERVATION	2017
101.732594	3.661674	Malaysia	MY	HUMAN_OBSERVATION	2017
100.701015	-0.134526	Indonesia	ID	HUMAN_OBSERVATION	2017
101.64126	3.715645	Malaysia	MY	HUMAN_OBSERVATION	2017
101.746351	3.607279	Malaysia	MY	HUMAN_OBSERVATION	2017
101.711842	3.602025	Malaysia	MY	HUMAN_OBSERVATION	2017
