decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
38.88327	9.651311	Ethiopia	ET	HUMAN_OBSERVATION	2023
39.200132	12.13066	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.824102	9.729222	Ethiopia	ET	HUMAN_OBSERVATION	2023
39.734205	9.819636	Ethiopia	ET	HUMAN_OBSERVATION	2023
39.733848	9.816608	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.814878	9.731715	Ethiopia	ET	HUMAN_OBSERVATION	2023
38.813732	9.732633	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.998151	13.211243	Ethiopia	ET	HUMAN_OBSERVATION	2023
37.997708	13.209873	Ethiopia	ET	HUMAN_OBSERVATION	2022
37.997768	13.209952	Ethiopia	ET	HUMAN_OBSERVATION	2022
37.981183	13.210437	Ethiopia	ET	HUMAN_OBSERVATION	2022
38.815499	9.731766	Ethiopia	ET	HUMAN_OBSERVATION	2022
37.981983	13.210455	Ethiopia	ET	HUMAN_OBSERVATION	2022
39.636331	11.12704	Ethiopia	ET	HUMAN_OBSERVATION	2021
38.816764	9.731835	Ethiopia	ET	HUMAN_OBSERVATION	2020
39.500324	9.62432	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.859323	13.356519	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.954989	13.287108	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.890053	13.204801	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.809252	13.239296	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.966991	13.325946	Ethiopia	ET	HUMAN_OBSERVATION	2020
38.192099	13.337133	Ethiopia	ET	HUMAN_OBSERVATION	2020
38.8138	9.7339	Ethiopia	ET	HUMAN_OBSERVATION	2020
37.950108	13.130729	Ethiopia	ET	HUMAN_OBSERVATION	2020
38.815439	9.732634	Ethiopia	ET	HUMAN_OBSERVATION	2020
39.798504	10.297247	Ethiopia	ET	HUMAN_OBSERVATION	2020
