decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
118.341504	5.449152	Malaysia	MY	HUMAN_OBSERVATION	2024
118.337286	5.429087	Malaysia	MY	HUMAN_OBSERVATION	2024
101.399249	0.114174	Indonesia	ID	HUMAN_OBSERVATION	2024
104.527369	1.008053	Indonesia	ID	HUMAN_OBSERVATION	2024
104.599923	1.004157	Indonesia	ID	HUMAN_OBSERVATION	2024
110.240899	1.613267	Malaysia	MY	HUMAN_OBSERVATION	2024
110.399197	1.62753	Malaysia	MY	HUMAN_OBSERVATION	2024
111.975281	-3.181154	Indonesia	ID	HUMAN_OBSERVATION	2024
118.310466	5.561049	Malaysia	MY	HUMAN_OBSERVATION	2023
114.214733	4.450148	Brunei Darussalam	BN	HUMAN_OBSERVATION	2023
118.215439	5.403352	Malaysia	MY	HUMAN_OBSERVATION	2023
118.238637	5.414609	Malaysia	MY	HUMAN_OBSERVATION	2023
111.500389	2.379496	Malaysia	MY	HUMAN_OBSERVATION	2023
118.280349	5.497803	Malaysia	MY	HUMAN_OBSERVATION	2023
110.471739	1.682062	Malaysia	MY	HUMAN_OBSERVATION	2023
101.844392	0.45528	Indonesia	ID	HUMAN_OBSERVATION	2023
105.122755	-2.679408	Indonesia	ID	HUMAN_OBSERVATION	2023
110.388107	1.679376	Malaysia	MY	HUMAN_OBSERVATION	2023
110.375093	1.606903	Malaysia	MY	HUMAN_OBSERVATION	2023
118.298778	5.538455	Malaysia	MY	HUMAN_OBSERVATION	2023
118.218743	5.464033	Malaysia	MY	HUMAN_OBSERVATION	2023
118.216027	5.490231	Malaysia	MY	HUMAN_OBSERVATION	2023
118.23058	5.477916	Malaysia	MY	HUMAN_OBSERVATION	2023
118.374121	5.541082	Malaysia	MY	HUMAN_OBSERVATION	2023
118.187099	5.444913	Malaysia	MY	HUMAN_OBSERVATION	2023
118.206998	5.592517	Malaysia	MY	HUMAN_OBSERVATION	2023
110.413851	1.630119	Malaysia	MY	HUMAN_OBSERVATION	2023
111.505926	2.365114	Malaysia	MY	HUMAN_OBSERVATION	2023
110.445345	1.607892	Malaysia	MY	HUMAN_OBSERVATION	2023
110.317711	1.603334	Malaysia	MY	HUMAN_OBSERVATION	2023
