decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
105.945234	20.35988	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.902426	20.3272	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.875399	20.255368	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.914367	20.239149	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.806296	20.319917	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.856108	20.367971	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.861258	20.339881	Viet Nam	VN	HUMAN_OBSERVATION	2023
105.851247	20.290405	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.915691	20.304516	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.877051	20.239479	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.915307	20.218685	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.951579	20.3054	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.887259	20.279085	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.881271	20.391197	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.833703	20.290526	Viet Nam	VN	HUMAN_OBSERVATION	2022
105.873634	20.240973	Viet Nam	VN	HUMAN_OBSERVATION	2020
105.918452	20.319455	Viet Nam	VN	HUMAN_OBSERVATION	2020
105.95077	20.268349	Viet Nam	VN	HUMAN_OBSERVATION	2020
105.80399	20.20947	Viet Nam	VN	HUMAN_OBSERVATION	2020
105.93707	20.385908	Viet Nam	VN	HUMAN_OBSERVATION	2019
105.924423	20.36176	Viet Nam	VN	HUMAN_OBSERVATION	2019
105.860275	20.392578	Viet Nam	VN	HUMAN_OBSERVATION	2019
105.983196	20.353255	Viet Nam	VN	HUMAN_OBSERVATION	2019
105.996511	20.368181	Viet Nam	VN	HUMAN_OBSERVATION	2019
105.954015	20.307839	Viet Nam	VN	HUMAN_OBSERVATION	2018
105.811396	20.213203	Viet Nam	VN	HUMAN_OBSERVATION	2018
105.922162	20.316127	Viet Nam	VN	HUMAN_OBSERVATION	2018
105.830154	20.395296	Viet Nam	VN	HUMAN_OBSERVATION	2017
105.841674	20.360005	Viet Nam	VN	HUMAN_OBSERVATION	2016
105.858924	20.320312	Viet Nam	VN	HUMAN_OBSERVATION	2016
105.926645	20.284519	Viet Nam	VN	HUMAN_OBSERVATION	2016
105.863848	20.274732	Viet Nam	VN	HUMAN_OBSERVATION	2016
105.862228	20.341754	Viet Nam	VN	HUMAN_OBSERVATION	2016
105.931469	20.325253	Viet Nam	VN	HUMAN_OBSERVATION	2014
105.971458	20.363404	Viet Nam	VN	HUMAN_OBSERVATION	2009
105.812547	20.229946	Viet Nam	VN	HUMAN_OBSERVATION	2008
105.862712	20.207803	Viet Nam	VN	HUMAN_OBSERVATION	2006
105.803747	20.205647	Viet Nam	VN	HUMAN_OBSERVATION	2004
