decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
99.573403	12.923526	Thailand	TH	HUMAN_OBSERVATION	2024
99.587413	12.742568	Thailand	TH	HUMAN_OBSERVATION	2024
98.589728	8.929356	Thailand	TH	HUMAN_OBSERVATION	2024
100.206201	5.423732	Malaysia	MY	HUMAN_OBSERVATION	2024
101.720286	3.657579	Malaysia	MY	HUMAN_OBSERVATION	2024
103.061099	3.711061	Malaysia	MY	HUMAN_OBSERVATION	2024
98.887342	8.176656	Thailand	TH	HUMAN_OBSERVATION	2024
100.494309	5.798818	Malaysia	MY	HUMAN_OBSERVATION	2024
98.90166	8.077724	Thailand	TH	HUMAN_OBSERVATION	2024
102.53092	4.256723	Malaysia	MY	HUMAN_OBSERVATION	2024
100.69723	4.822279	Malaysia	MY	HUMAN_OBSERVATION	2024
100.789691	4.832277	Malaysia	MY	HUMAN_OBSERVATION	2024
99.76614	12.828081	Thailand	TH	HUMAN_OBSERVATION	2024
99.30591	12.946776	Thailand	TH	HUMAN_OBSERVATION	2024
101.463682	3.136881	Malaysia	MY	HUMAN_OBSERVATION	2024
99.445012	12.87746	Thailand	TH	HUMAN_OBSERVATION	2024
99.425159	12.848932	Thailand	TH	HUMAN_OBSERVATION	2024
98.97325	8.030116	Thailand	TH	HUMAN_OBSERVATION	2024
98.937228	8.151331	Thailand	TH	HUMAN_OBSERVATION	2023
101.912594	5.608305	Thailand	TH	HUMAN_OBSERVATION	2023
99.722973	6.357144	Malaysia	MY	HUMAN_OBSERVATION	2023
98.940401	8.198875	Thailand	TH	HUMAN_OBSERVATION	2023
101.681542	3.790676	Malaysia	MY	HUMAN_OBSERVATION	2023
99.541757	12.906504	Thailand	TH	HUMAN_OBSERVATION	2023
99.526597	12.880127	Thailand	TH	HUMAN_OBSERVATION	2023
101.66621	3.766226	Malaysia	MY	HUMAN_OBSERVATION	2023
99.463525	12.811915	Thailand	TH	HUMAN_OBSERVATION	2023
98.975902	8.180453	Thailand	TH	HUMAN_OBSERVATION	2023
99.576361	12.91721	Thailand	TH	HUMAN_OBSERVATION	2023
100.25555	5.437878	Malaysia	MY	HUMAN_OBSERVATION	2023
99.312944	12.861365	Thailand	TH	HUMAN_OBSERVATION	2023
101.976945	3.440802	Malaysia	MY	HUMAN_OBSERVATION	2023
101.80663	3.565508	Malaysia	MY	HUMAN_OBSERVATION	2023
101.949091	3.571494	Malaysia	MY	HUMAN_OBSERVATION	2023
98.845653	8.194439	Thailand	TH	HUMAN_OBSERVATION	2023
103.62857	1.446374	Malaysia	MY	HUMAN_OBSERVATION	2023
99.580584	12.823851	Thailand	TH	HUMAN_OBSERVATION	2023
99.590714	12.763326	Thailand	TH	HUMAN_OBSERVATION	2023
99.532284	12.752658	Thailand	TH	HUMAN_OBSERVATION	2023
99.302514	12.914101	Thailand	TH	HUMAN_OBSERVATION	2023
99.614222	12.93738	Thailand	TH	HUMAN_OBSERVATION	2023
99.648819	12.804221	Thailand	TH	HUMAN_OBSERVATION	2023
101.841858	5.818643	Thailand	TH	HUMAN_OBSERVATION	2023
98.796816	9.199128	Thailand	TH	HUMAN_OBSERVATION	2023
101.867476	2.461887	Malaysia	MY	HUMAN_OBSERVATION	2023
99.313394	12.844884	Thailand	TH	HUMAN_OBSERVATION	2023
101.9482	2.467546	Malaysia	MY	HUMAN_OBSERVATION	2023
99.580407	12.890888	Thailand	TH	HUMAN_OBSERVATION	2023
99.674075	12.856464	Thailand	TH	HUMAN_OBSERVATION	2023
98.852489	8.047025	Thailand	TH	HUMAN_OBSERVATION	2023
98.839996	8.120044	Thailand	TH	HUMAN_OBSERVATION	2023
