decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
92.250118	24.416568	India	IN	HUMAN_OBSERVATION	2023
92.268223	24.501796	India	IN	HUMAN_OBSERVATION	2023
91.640902	24.373641	Bangladesh	BD	HUMAN_OBSERVATION	2023
91.600547	24.217993	Bangladesh	BD	HUMAN_OBSERVATION	2023
91.599316	24.065965	Bangladesh	BD	HUMAN_OBSERVATION	2023
91.454454	24.096205	Bangladesh	BD	HUMAN_OBSERVATION	2023
91.562597	24.099825	Bangladesh	BD	HUMAN_OBSERVATION	2022
91.619853	24.277746	Bangladesh	BD	HUMAN_OBSERVATION	2022
92.090808	24.565927	Bangladesh	BD	HUMAN_OBSERVATION	2022
91.72	24.32	Bangladesh	BD	PRESERVED_SPECIMEN	2022
91.602239	24.319664	Bangladesh	BD	HUMAN_OBSERVATION	2022
91.61847	24.3918	Bangladesh	BD	HUMAN_OBSERVATION	2022
91.619913	24.503394	Bangladesh	BD	HUMAN_OBSERVATION	2022
92.349222	24.540656	India	IN	HUMAN_OBSERVATION	2021
91.552218	24.013332	Bangladesh	BD	HUMAN_OBSERVATION	2021
91.531937	24.101839	Bangladesh	BD	HUMAN_OBSERVATION	2021
91.457149	24.208688	Bangladesh	BD	HUMAN_OBSERVATION	2021
92.191074	24.441162	Bangladesh	BD	HUMAN_OBSERVATION	2021
92.244309	24.566458	India	IN	HUMAN_OBSERVATION	2021
92.219563	24.590966	India	IN	HUMAN_OBSERVATION	2021
92.37788	24.513894	India	IN	HUMAN_OBSERVATION	2021
91.556996	24.032622	Bangladesh	BD	HUMAN_OBSERVATION	2020
92.202555	24.560996	India	IN	HUMAN_OBSERVATION	2020
92.22969	24.417239	India	IN	HUMAN_OBSERVATION	2020
92.20926	24.485057	India	IN	HUMAN_OBSERVATION	2020
92.351604	24.562138	India	IN	HUMAN_OBSERVATION	2020
92.398232	24.497977	India	IN	HUMAN_OBSERVATION	2020
92.342495	24.545545	India	IN	HUMAN_OBSERVATION	2020
91.864733	24.155175	Bangladesh	BD	HUMAN_OBSERVATION	2020
91.683296	24.228421	Bangladesh	BD	HUMAN_OBSERVATION	2019
91.738634	24.202106	Bangladesh	BD	HUMAN_OBSERVATION	2019
92.362878	24.502465	India	IN	HUMAN_OBSERVATION	2018
92.355777	24.497188	India	IN	HUMAN_OBSERVATION	2018
92.359153	24.864913	India	IN	HUMAN_OBSERVATION	2018
92.314768	24.497701	India	IN	HUMAN_OBSERVATION	2018
91.761015	24.221296	Bangladesh	BD	HUMAN_OBSERVATION	2018
92.353753	24.40803	India	IN	HUMAN_OBSERVATION	2018
91.69928	24.235476	Bangladesh	BD	HUMAN_OBSERVATION	2018
92.203067	24.455019	India	IN	HUMAN_OBSERVATION	2017
92.203064	24.455019	India	IN	HUMAN_OBSERVATION	2017
91.935293	24.36262	Bangladesh	BD	HUMAN_OBSERVATION	2017
92.75622	24.689737	India	IN	HUMAN_OBSERVATION	2017
92.392292	24.578479	India	IN	HUMAN_OBSERVATION	2017
92.2918	24.450753	India	IN	HUMAN_OBSERVATION	2017
92.328009	24.536355	India	IN	HUMAN_OBSERVATION	2017
92.32724	24.453655	India	IN	HUMAN_OBSERVATION	2017
92.238401	24.528922	India	IN	HUMAN_OBSERVATION	2017
92.375319	24.575549	India	IN	HUMAN_OBSERVATION	2017
92.259536	24.430133	India	IN	HUMAN_OBSERVATION	2016
92.277739	24.463492	India	IN	HUMAN_OBSERVATION	2016
91.666632	24.259804	Bangladesh	BD	HUMAN_OBSERVATION	2016
92.304558	24.653175	India	IN	HUMAN_OBSERVATION	2015
91.749773	24.345038	Bangladesh	BD	HUMAN_OBSERVATION	2015
91.682206	24.343587	Bangladesh	BD	HUMAN_OBSERVATION	2015
91.706108	24.206327	Bangladesh	BD	HUMAN_OBSERVATION	2015
91.623908	24.359606	Bangladesh	BD	HUMAN_OBSERVATION	2015
92.222109	24.689805	India	IN	HUMAN_OBSERVATION	2015
92.501715	24.559765	India	IN	HUMAN_OBSERVATION	2014
91.7285	24.296654	Bangladesh	BD	HUMAN_OBSERVATION	2014
92.260354	24.605936	India	IN	HUMAN_OBSERVATION	2014
92.366982	24.526115	India	IN	HUMAN_OBSERVATION	2014
92.320379	24.632036	India	IN	HUMAN_OBSERVATION	2013
91.7827	24.210589	Bangladesh	BD	HUMAN_OBSERVATION	2013
92.335153	24.641145	India	IN	HUMAN_OBSERVATION	2013
92.444656	24.658497	India	IN	HUMAN_OBSERVATION	2013
92.288381	24.442613	India	IN	HUMAN_OBSERVATION	2011
92.365947	24.641698	India	IN	HUMAN_OBSERVATION	2011
91.401138	24.147097	India	IN	HUMAN_OBSERVATION	2010
92.383438	24.607288	India	IN	HUMAN_OBSERVATION	2009
92.666745	24.7382	India	IN	HUMAN_OBSERVATION	2007
92.422615	23.503541	India	IN	MATERIAL_CITATION	NA
