decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
93.436153	26.606835	India	IN	HUMAN_OBSERVATION	2023
93.587494	26.634277	India	IN	HUMAN_OBSERVATION	2023
93.567361	26.600689	India	IN	HUMAN_OBSERVATION	2023
93.478511	26.779338	India	IN	HUMAN_OBSERVATION	2023
93.539055	26.727188	India	IN	HUMAN_OBSERVATION	2023
93.526979	26.602043	India	IN	HUMAN_OBSERVATION	2023
91.03993	26.714786	India	IN	HUMAN_OBSERVATION	2023
91.321359	26.887264	India	IN	HUMAN_OBSERVATION	2023
92.955699	26.951701	India	IN	HUMAN_OBSERVATION	2023
90.838004	26.695224	India	IN	HUMAN_OBSERVATION	2023
91.263614	26.919684	India	IN	HUMAN_OBSERVATION	2023
91.152905	27.279049	Bhutan	BT	HUMAN_OBSERVATION	2023
91.324365	27.399482	Bhutan	BT	HUMAN_OBSERVATION	2023
91.042077	26.77276	India	IN	HUMAN_OBSERVATION	2023
95.730065	27.373629	India	IN	HUMAN_OBSERVATION	2023
90.567243	27.459054	Bhutan	BT	HUMAN_OBSERVATION	2023
90.465696	27.426405	Bhutan	BT	HUMAN_OBSERVATION	2023
95.706361	27.397964	India	IN	HUMAN_OBSERVATION	2023
95.600249	27.256736	India	IN	HUMAN_OBSERVATION	2023
95.716552	27.244322	India	IN	HUMAN_OBSERVATION	2023
95.688844	27.307717	India	IN	HUMAN_OBSERVATION	2023
95.706599	27.364048	India	IN	HUMAN_OBSERVATION	2023
95.769862	27.269044	India	IN	HUMAN_OBSERVATION	2023
95.716046	27.213232	India	IN	HUMAN_OBSERVATION	2023
91.231307	26.901235	India	IN	HUMAN_OBSERVATION	2023
91.13493	26.765868	India	IN	HUMAN_OBSERVATION	2023
95.605539	27.204614	India	IN	HUMAN_OBSERVATION	2023
95.644067	27.206141	India	IN	HUMAN_OBSERVATION	2023
95.723081	27.388744	India	IN	HUMAN_OBSERVATION	2023
95.644796	27.388373	India	IN	HUMAN_OBSERVATION	2023
95.652697	27.270556	India	IN	HUMAN_OBSERVATION	2023
95.727595	27.248409	India	IN	HUMAN_OBSERVATION	2023
91.63895	26.170872	India	IN	HUMAN_OBSERVATION	2023
95.476019	27.392529	India	IN	HUMAN_OBSERVATION	2023
95.402748	27.252851	India	IN	HUMAN_OBSERVATION	2023
95.435745	27.215097	India	IN	HUMAN_OBSERVATION	2023
95.426418	27.263381	India	IN	HUMAN_OBSERVATION	2023
95.428326	27.217594	India	IN	HUMAN_OBSERVATION	2023
91.272547	26.880231	India	IN	HUMAN_OBSERVATION	2023
91.764205	27.845569	China	CN	HUMAN_OBSERVATION	2022
92.930475	27.140312	India	IN	HUMAN_OBSERVATION	2022
92.861221	27.124196	India	IN	HUMAN_OBSERVATION	2022
94.35361	26.662599	India	IN	HUMAN_OBSERVATION	2022
95.42687	27.361018	India	IN	HUMAN_OBSERVATION	2022
91.126768	27.245137	Bhutan	BT	HUMAN_OBSERVATION	2021
90.92893	26.762985	Bhutan	BT	HUMAN_OBSERVATION	2021
91.161671	26.731131	India	IN	HUMAN_OBSERVATION	2021
91.070421	26.637664	India	IN	HUMAN_OBSERVATION	2021
91.049646	26.710756	India	IN	HUMAN_OBSERVATION	2021
91.010109	26.707759	India	IN	HUMAN_OBSERVATION	2021
94.323834	26.730561	India	IN	HUMAN_OBSERVATION	2021
94.357213	26.725366	India	IN	HUMAN_OBSERVATION	2021
94.240849	26.799871	India	IN	HUMAN_OBSERVATION	2021
94.205738	26.678856	India	IN	HUMAN_OBSERVATION	2021
91.607395	27.907955	China	CN	HUMAN_OBSERVATION	2021
91.168563	26.721805	India	IN	HUMAN_OBSERVATION	2021
91.720799	27.641473	India	IN	HUMAN_OBSERVATION	2021
93.102351	26.966859	India	IN	HUMAN_OBSERVATION	2021
95.518643	27.287518	India	IN	HUMAN_OBSERVATION	2021
90.832602	26.742027	India	IN	HUMAN_OBSERVATION	2021
95.540788	27.201567	India	IN	HUMAN_OBSERVATION	2021
95.542026	27.373216	India	IN	HUMAN_OBSERVATION	2021
90.951266	26.707978	India	IN	HUMAN_OBSERVATION	2020
91.003836	27.244203	Bhutan	BT	HUMAN_OBSERVATION	2020
95.548126	27.22997	India	IN	HUMAN_OBSERVATION	2020
95.542894	27.348309	India	IN	HUMAN_OBSERVATION	2020
95.548797	27.261538	India	IN	HUMAN_OBSERVATION	2020
92.85841	27.048975	India	IN	HUMAN_OBSERVATION	2019
93.24558	26.887708	India	IN	HUMAN_OBSERVATION	2019
92.968055	26.831248	India	IN	HUMAN_OBSERVATION	2019
91.405251	26.817758	Bhutan	BT	HUMAN_OBSERVATION	2019
91.559491	26.918646	Bhutan	BT	HUMAN_OBSERVATION	2019
91.382876	27.206169	Bhutan	BT	HUMAN_OBSERVATION	2019
91.062488	27.350826	Bhutan	BT	HUMAN_OBSERVATION	2019
91.191124	27.262927	Bhutan	BT	HUMAN_OBSERVATION	2019
91.510442	27.192566	Bhutan	BT	HUMAN_OBSERVATION	2019
91.592699	27.020581	Bhutan	BT	HUMAN_OBSERVATION	2019
91.690938	27.102485	Bhutan	BT	HUMAN_OBSERVATION	2019
91.608337	27.156998	Bhutan	BT	HUMAN_OBSERVATION	2019
90.846132	26.748913	India	IN	HUMAN_OBSERVATION	2019
90.944476	26.767876	India	IN	HUMAN_OBSERVATION	2019
90.938291	26.61438	India	IN	HUMAN_OBSERVATION	2019
90.9576	26.782	India	IN	HUMAN_OBSERVATION	2019
91.000605	26.658644	India	IN	HUMAN_OBSERVATION	2019
90.957592	26.781984	India	IN	HUMAN_OBSERVATION	2019
90.691422	27.159416	Bhutan	BT	HUMAN_OBSERVATION	2019
91.001131	26.659423	India	IN	HUMAN_OBSERVATION	2019
91.169321	26.892207	Bhutan	BT	HUMAN_OBSERVATION	2018
91.471012	27.24679	Bhutan	BT	HUMAN_OBSERVATION	2018
91.001129	26.659422	India	IN	HUMAN_OBSERVATION	2018
91.352617	27.183048	Bhutan	BT	HUMAN_OBSERVATION	2018
91.560558	27.416703	Bhutan	BT	HUMAN_OBSERVATION	2018
92.073119	26.897619	Bhutan	BT	HUMAN_OBSERVATION	2018
91.85038	27.039332	Bhutan	BT	HUMAN_OBSERVATION	2018
93.724456	25.988622	India	IN	HUMAN_OBSERVATION	2018
90.952353	27.308972	Bhutan	BT	HUMAN_OBSERVATION	2018
90.981788	26.79088	India	IN	HUMAN_OBSERVATION	2018
94.384746	26.69297	India	IN	HUMAN_OBSERVATION	2018
94.32826	26.651571	India	IN	HUMAN_OBSERVATION	2018
92.857656	26.820692	India	IN	HUMAN_OBSERVATION	2018
90.810942	26.692468	India	IN	HUMAN_OBSERVATION	2018
94.203158	26.783577	India	IN	HUMAN_OBSERVATION	2018
94.305926	26.659209	India	IN	HUMAN_OBSERVATION	2017
95.449975	27.36126	India	IN	HUMAN_OBSERVATION	2017
93.111057	26.450015	India	IN	HUMAN_OBSERVATION	2017
91.526109	26.967981	Bhutan	BT	HUMAN_OBSERVATION	2017
91.790904	26.675775	India	IN	HUMAN_OBSERVATION	2017
91.273339	26.806716	India	IN	HUMAN_OBSERVATION	2017
91.151194	27.212744	Bhutan	BT	HUMAN_OBSERVATION	2017
91.039286	27.363884	Bhutan	BT	HUMAN_OBSERVATION	2017
91.110825	27.341492	Bhutan	BT	HUMAN_OBSERVATION	2017
90.943848	27.311466	Bhutan	BT	HUMAN_OBSERVATION	2017
94.3411	26.689423	India	IN	HUMAN_OBSERVATION	2017
94.341103	26.689423	India	IN	HUMAN_OBSERVATION	2017
94.250418	26.648235	India	IN	HUMAN_OBSERVATION	2017
94.251704	26.68596	India	IN	HUMAN_OBSERVATION	2017
94.242797	26.645523	India	IN	HUMAN_OBSERVATION	2017
93.598429	26.369984	India	IN	HUMAN_OBSERVATION	2017
94.202583	26.746521	India	IN	HUMAN_OBSERVATION	2017
91.176102	27.664921	Bhutan	BT	HUMAN_OBSERVATION	2016
92.944901	26.802912	India	IN	HUMAN_OBSERVATION	2016
