Allochrocebus lhoesti
Alouatta belzebul
Alouatta caraya
Alouatta guariba
Alouatta palliata
Alouatta pigra
Alouatta seniculus
Aotus azarae
Aotus lemurinus
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Ateles belzebuth
Ateles fusciceps
Ateles geoffroyi
Ateles paniscus
Brachyteles arachnoides
Callithrix aurita
Callithrix geoffroyi
Callithrix jacchus
Callithrix penicillata
Cebus albifrons
Cebus capucinus
Cebus olivaceus
Cercocebus agilis
Cercocebus torquatus
Cercopithecus ascanius
Cercopithecus campbelli
Cercopithecus cephus
Cercopithecus diana
Cercopithecus erythrotis
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Cercopithecus petaurista
Cercopithecus pogonias
Cercopithecus wolfi
Chlorocebus aethiops
Chlorocebus pygerythrus
Chlorocebus sabaeus
Colobus angolensis
Colobus guereza
Colobus polykomos
Colobus satanas
Colobus vellerosus
Erythrocebus patas
Gorilla beringei
Gorilla gorilla
Hoolock hoolock
Hylobates agilis
Hylobates lar
Hylobates moloch
Hylobates pileatus
Lagothrix lagothricha
Leontocebus leucogenys
Lophocebus aterrimus
Macaca arctoides
Macaca assamensis
Macaca cyclopis
Macaca fascicularis
Macaca fuscata
Macaca maura
Macaca mulatta
Macaca nemestrina
Macaca nigra
Macaca radiata
Macaca silenus
Macaca sinica
Macaca thibetana
Mandrillus leucophaeus
Mandrillus sphinx
Mico argentatus
Nasalis larvatus
Nomascus concolor
Nomascus leucogenys
Pan troglodytes
Papio anubis
Papio cynocephalus
Papio hamadryas
Papio papio
Papio ursinus
Piliocolobus badius
Piliocolobus kirkii
Piliocolobus tephrosceles
Pongo abelii
Pongo pygmaeus
Presbytis comata
Presbytis melalophos
Procolobus verus
Rhinopithecus bieti
Rhinopithecus roxellana
Saguinus bicolor
Saguinus geoffroyi
Saguinus imperator
Saguinus leucopus
Saguinus midas
Saguinus mystax
Saguinus niger
Saguinus oedipus
Saimiri boliviensis
Saimiri oerstedii
Saimiri sciureus
Saimiri ustus
Sapajus apella
Semnopithecus entellus
Symphalangus syndactylus
Theropithecus gelada
Trachypithecus cristatus
Trachypithecus delacouri
Trachypithecus obscurus
Trachypithecus phayrei
Trachypithecus pileatus
